BioguideIds,112,113,114,115,116,117
A000370,,NC-12,NC-12,NC-12,NC-12,NC-12
N000188,,NJ-01,NJ-01,NJ-01,NJ-01,NJ-01
P000609,,,AL-06,AL-06,AL-06,AL-06
H001072,,,AR-02,AR-02,AR-02,AR-02
W000821,,,AR-04,AR-04,AR-04,AR-04
M001197,,,AZ-02,AZ-02,AZ-00,
K000387,,,CA-25,CA-25,,
W000820,,,CA-45,CA-45,,
B001297,,,CO-04,CO-04,CO-04,CO-04
C001107,,,FL-26,FL-26,,
A000372,,,GA-12,GA-12,GA-12,GA-12
C001103,,,GA-01,GA-01,GA-01,GA-01
H001071,,,GA-10,GA-10,GA-10,GA-10
L000583,,,GA-11,GA-11,GA-11,GA-11
B001294,,,IA-01,IA-01,,
Y000066,,,IA-03,IA-03,,
B001295,,,IL-12,IL-12,IL-12,IL-12
L000585,,,IL-18,IL-18,IL-18,IL-18
A000374,,,LA-05,LA-05,LA-05,
G000577,,,LA-06,LA-06,LA-06,LA-06
P000611,,,ME-02,ME-02,,
B001293,,,MI-08,MI-08,,
M001194,,,MI-04,MI-04,MI-04,MI-04
T000475,,,MI-11,MI-11,,
E000294,,,MN-06,MN-06,MN-06,MN-06
K000388,,,MS-01,MS-01,MS-01,MS-01
Z000018,,,MT-00,MT-00,,
R000603,,,NC-07,NC-07,NC-07,NC-07
W000819,,,NC-06,NC-06,NC-06,
M001193,,,NJ-03,NJ-03,,
H001070,,,NV-04,,,
D000625,,,NY-11,NY-11,,
K000386,,,NY-24,NY-24,NY-24,NY-24
S001196,,,NY-21,NY-21,NY-21,NY-21
Z000017,,,NY-01,NY-01,NY-01,NY-01
R000604,,,OK-05,OK-05,,
C001106,,,PA-06,PA-06,,
B001291,,,TX-36,TX-36,TX-36,TX-36
H001073,,,TX-23,TX-23,TX-23,
R000601,,,TX-04,TX-04,TX-04,
L000584,,,UT-04,UT-04,,
C001105,,,VA-10,VA-10,,
N000189,,,WA-04,WA-04,WA-04,WA-04
G000576,,,WI-06,WI-06,WI-06,WI-06
J000297,,,WV-03,WV-03,,
M001195,,,WV-02,WV-02,WV-02,WV-02
G000574,,,AZ-07,AZ-07,AZ-07,AZ-07
A000371,,,CA-31,CA-31,CA-31,CA-31
D000623,,,CA-11,CA-11,CA-11,CA-11
L000582,,,CA-33,CA-33,CA-33,CA-33
T000474,,,CA-35,CA-35,CA-35,CA-35
G000575,,,FL-02,,,
T000473,,,HI-01,,,
M001196,,,MA-06,MA-06,MA-06,MA-06
D000624,,,MI-12,MI-12,MI-12,MI-12
L000581,,,MI-14,MI-14,MI-14,MI-14
A000373,,,NE-02,,,
W000822,,,NJ-12,NJ-12,NJ-12,NJ-12
R000602,,,NY-04,NY-04,NY-04,NY-04
B001296,,,PA-13,PA-13,PA-02,PA-02
B001292,,,VA-08,VA-08,VA-08,VA-08
C001108,,,KY-01,KY-01,KY-01,KY-01
D000626,,,OH-08,OH-08,OH-08,OH-08
E000296,,,PA-02,PA-02,PA-03,PA-03
B001302,,,,AZ-05,AZ-05,AZ-05
D000628,,,,FL-02,FL-02,FL-02
G000578,,,,FL-01,FL-01,FL-01
M001199,,,,FL-18,FL-18,FL-18
R000607,,,,FL-19,FL-19,
R000609,,,,FL-04,FL-04,FL-04
F000465,,,,GA-03,GA-03,GA-03
H001078,,,,GA-06,,
B001299,,,,IN-03,IN-03,IN-03
H001074,,,,IN-09,IN-09,IN-09
E000298,,,,KS-04,KS-04,KS-04
M001198,,,,KS-01,KS-01,KS-00
H001077,,,,LA-03,LA-03,LA-03
J000299,,,,LA-04,LA-04,LA-04
B001301,,,,MI-01,MI-01,MI-01
M001201,,,,MI-10,MI-10,
L000587,,,,MN-02,,
G000584,,,,MT-00,MT-00,
B001305,,,,NC-13,NC-13,NC-13
B001298,,,,NE-02,NE-02,NE-02
F000464,,,,NY-19,,
T000478,,,,NY-22,,NY-22
F000466,,,,PA-08,PA-01,PA-01
S001199,,,,PA-16,PA-11,PA-11
N000190,,,,SC-05,SC-05,SC-05
K000392,,,,TN-08,TN-08,TN-08
A000375,,,,TX-19,TX-19,TX-19
C001114,,,,UT-03,UT-03,UT-03
G000580,,,,VA-05,,
T000477,,,,VA-02,,
G000579,,,,WI-08,WI-08,WI-08
C001109,,,,WY-00,WY-00,WY-00
O000171,,,,AZ-01,AZ-01,AZ-01
B001300,,,,CA-44,CA-44,CA-44
C001112,,,,CA-24,CA-24,CA-24
C001110,,,,CA-46,CA-46,CA-46
G000585,,,,CA-34,CA-34,CA-34
K000389,,,,CA-17,CA-17,CA-17
P000613,,,,CA-20,CA-20,CA-20
B001303,,,,DE-00,DE-00,DE-00
C001111,,,,FL-13,FL-13,FL-13
D000627,,,,FL-10,FL-10,FL-10
L000586,,,,FL-05,FL-05,FL-05
M001202,,,,FL-07,FL-07,FL-07
S001200,,,,FL-09,FL-09,FL-09
K000391,,,,IL-08,IL-08,IL-08
B001304,,,,MD-04,MD-04,MD-04
R000606,,,,MD-08,MD-08,MD-08
G000583,,,,NJ-05,NJ-05,NJ-05
K000390,,,,NV-04,,
R000608,,,,NV-03,NV-00,NV-00
E000297,,,,NY-13,NY-13,NY-13
S001201,,,,NY-03,NY-03,NY-03
G000581,,,,TX-15,TX-15,TX-15
M001200,,,,VA-04,VA-04,VA-04
J000298,,,,WA-07,WA-07,WA-07
L000589,,,,AZ-08,AZ-08,AZ-08
B001306,,,,OH-12,OH-12,OH-12
H001082,,,,OK-01,OK-01,OK-01
C001115,,,,TX-27,TX-27,TX-27
J000303,,,,MI-13,,
M001206,,,,NY-25,NY-25,NY-25
L000588,,,,PA-18,PA-17,PA-17
S001205,,,,PA-07,PA-05,PA-05
W000826,,,,PA-15,PA-07,PA-07
S001210,,,,,FL-15,
S001214,,,,,FL-17,FL-17
W000823,,,,,FL-06,FL-06
F000469,,,,,ID-01,ID-01
B001307,,,,,IN-04,IN-04
P000615,,,,,IN-06,IN-06
W000824,,,,,KS-02,
H001088,,,,,MN-01,MN-01
S001212,,,,,MN-08,MN-08
G000591,,,,,MS-03,MS-03
B001311,,,,,NC-09,NC-09
M001210,,,,,NC-03,NC-03
A000377,,,,,ND-00,ND-00
G000588,,,,,OH-16,OH-16
J000302,,,,,PA-13,PA-13
K000395,,,,,PA-12,PA-12
M001204,,,,,PA-09,PA-09
R000610,,,,,PA-14,PA-14
T000480,,,,,SC-04,SC-04
J000301,,,,,SD-00,SD-00
B001309,,,,,TN-02,TN-02
G000590,,,,,TN-07,TN-07
R000612,,,,,TN-06,TN-06
C001120,,,,,TX-02,TX-02
G000589,,,,,TX-05,TX-05
R000614,,,,,TX-21,TX-21
T000479,,,,,TX-03,TX-03
W000827,,,,,TX-06,TX-06
C001118,,,,,VA-06,VA-06
R000611,,,,,VA-05,
S001213,,,,,WI-01,WI-01
M001205,,,,,WV-03,WV-03
S001211,,,,,AZ-09,AZ-09
C001123,,,,,CA-39,
C001124,,,,,CA-21,
H001090,,,,,CA-10,CA-10
H001087,,,,,CA-25,
L000593,,,,,CA-49,CA-49
P000618,,,,,CA-45,CA-45
R000616,,,,,CA-48,
C001121,,,,,CO-06,CO-06
N000191,,,,,CO-02,CO-02
H001081,,,,,CT-05,CT-05
M001207,,,,,FL-26,
S001206,,,,,FL-27,
M001208,,,,,GA-06,GA-06
C001055,,,,,HI-01,HI-01
A000378,,,,,IA-03,IA-03
F000467,,,,,IA-01,
C001117,,,,,IL-06,IL-06
G000586,,,,,IL-04,IL-04
U000040,,,,,IL-14,IL-14
D000629,,,,,KS-03,KS-03
P000617,,,,,MA-07,MA-07
T000482,,,,,MA-03,MA-03
T000483,,,,,MD-06,MD-06
G000592,,,,,ME-02,ME-02
L000592,,,,,MI-09,MI-09
S001208,,,,,MI-08,MI-08
S001215,,,,,MI-11,MI-11
T000481,,,,,MI-13,MI-13
C001119,,,,,MN-02,MN-02
O000173,,,,,MN-05,MN-05
P000616,,,,,MN-03,MN-03
P000614,,,,,NH-01,NH-01
K000394,,,,,NJ-03,NJ-03
M001203,,,,,NJ-07,NJ-07
S001207,,,,,NJ-11,NJ-11
V000133,,,,,NJ-02,NJ-02
H001080,,,,,NM-01,NM-01
T000484,,,,,NM-02,
L000590,,,,,NV-03,NV-03
B001308,,,,,NY-22,
D000630,,,,,NY-19,NY-19
O000172,,,,,NY-14,NY-14
R000613,,,,,NY-11,
H001083,,,,,OK-05,
D000631,,,,,PA-04,PA-04
H001085,,,,,PA-06,PA-06
C001122,,,,,SC-01,
A000376,,,,,TX-32,TX-32
E000299,,,,,TX-16,TX-16
F000468,,,,,TX-07,TX-07
G000587,,,,,TX-29,TX-29
M001209,,,,,UT-04,
L000591,,,,,VA-02,VA-02
S001209,,,,,VA-07,VA-07
W000825,,,,,VA-10,VA-10
S001216,,,,,WA-08,WA-08
G000061,,,,,CA-25,CA-25
J000020,,,,,NY-27,NY-27
T000165,,,,,WI-07,WI-07
H001092,,,,,GA-05,
M000687,,,,,MD-07,MD-07
C001054,,,,,,AL-01
M001212,,,,,,AL-02
K000397,,,,,,CA-39
O000019,,,,,,CA-08
S001135,,,,,,CA-48
B000825,,,,,,CO-03
C001039,,,,,,FL-03
D000032,,,,,,FL-19
F000472,,,,,,FL-15
G000593,,,,,,FL-26
S000168,,,,,,FL-27
C001116,,,,,,GA-09
G000596,,,,,,GA-14
F000446,,,,,,IA-04
H001091,,,,,,IA-01
M001215,,,,,,IA-02
M001211,,,,,,IL-15
S000929,,,,,,IN-05
L000266,,,,,,KS-02
M000871,,,,,,KS-01
L000595,,,,,,LA-05
M001136,,,,,,MI-10
M001186,,,,,,MI-03
F000470,,,,,,MN-07
R000103,,,,,,MT-00
C001104,,,,,,NC-11
H001084,,,,,,NM-02
G000597,,,,,,NY-02
M000317,,,,,,NY-11
B000740,,,,,,OK-05
B000668,,,,,,OR-02
M000194,,,,,,SC-01
H001086,,,,,,TN-01
F000246,,,,,,TX-04
G000594,,,,,,TX-23
J000304,,,,,,TX-13
N000026,,,,,,TX-22
P000048,,,,,,TX-11
V000134,,,,,,TX-24
M001213,,,,,,UT-01
O000086,,,,,,UT-04
G000595,,,,,,VA-05
F000471,,,,,,WI-05
J000305,,,,,,CA-53
B001312,,,,,,GA-07
W000788,,,,,,GA-05
K000396,,,,,,HI-02
N000192,,,,,,IL-03
M001214,,,,,,IN-01
C001125,,,,,,LA-02
A000148,,,,,,MA-04
B001224,,,,,,MO-01
M001135,,,,,,NC-06
R000305,,,,,,NC-02
L000273,,,,,,NM-03
S001218,,,,,,NM-01
B001223,,,,,,NY-16
J000306,,,,,,NY-17
T000486,,,,,,NY-15
B001313,,,,,,OH-11
S001159,,,,,,WA-10
C001128,,,,,,CA-22
C001126,,,,,,OH-15
E000071,,,,,,TX-06
F000473,,,,,,TX-34
C001127,,,,,,FL-20
